S/N,NAME OF THE PS ,CR NO,DATE OF REPORT,SEC OF LAW,CRIME HEAD,ROAD TYPE,DATE OF OCCURRENCE,TIME OF OCCURRENCE,PLACE OF OCCURRENCE ,PLACE OF OCCURRENCE RURAL V/R URBAN,"ROAD TYPE 
(NH, SH, DR TOWN, VILLAGE ROAD)",VICTIM  VEHICLE,ACCUSED VEHICLE,DEATHS: MALE AGES,DEATHS FEMALE AGES,GREVIOUS INJURED: MALE AGES,GREVIOUS INJURED: FEMALE AGES,"SIMPLE INJURED : MALE AGES
","SIMPLE INJURED : FEMALE AGES
",IF PEDESTRIAN AGE : MALE AGE,IF PEDESTRIAN AGE : FEMALE AGE,MALE ACCUSED AGE,FEMALE ACCUSED AGE,DRIVING LICENCE       (YES V/R NO V/R NOT KNOWN),INSURANCE   (YES V/R NO V/R NOT KNOWN),WEATHER CONDITION
51,Mulbagal Rural PS,0232/2023,24-08-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,24-08-2023,05:45,Thambihalli bridge,Rural,NH,T/W,NOT KNOWN,,,,,27,,,,UNKNOWN,,,,
52,Mulbagal Rural PS,0233/2023,24-08-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,24-08-2023,16:30,Thambihalli bridge,Rural,NH,T/W,CAR,,,,19,,,,,,,,,
53,Mulbagal Rural PS,0235/2023,25-08-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,25-08-2023,11:20,BALLA,Rural,SH,T/W,TEMPO,,,,,"66, 21",,,,23,,,,
54,Mulbagal Rural PS,0236/2023,26-08-2023,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,26-08-2023,19:00,DEVARAYASAMUDRA GATE,Rural,NH,Pedestrian,NOT KNOWN,36,,,,,,36,,UNKNOWN,,,,
55,Mulbagal Rural PS,0245/2023,05-09-2023,"IPC 1860 U/s: 279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,09-03-2023,14:00,KAMANURU GATE,Rural,NH,CAR,CAR,,,,,,,,,30,,,,
56,Mulbagal Rural PS,0250/2023,08-09-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,09-06-2023,14:30,KAPPALAMADAGU,Rural,NH,T/W,TRUCK,,,,,24,,,,36,,,,
57,Mulbagal Rural PS,0254/2023,13-09-2023,"IPC 1860 U/s: 337,279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,09-11-2023,15:00,Sangasandra,Rural,OTHER ROAD,T/W,Car,42,,,,42,,,,32,,,,
58,Mulbagal Rural PS,0255/2023,16-09-2023,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16-09-2023,08:30,Marandahalli,Rural,OTHER ROAD,T/W,Auto,26,,,,,,,,38,,,,
59,Mulbagal Rural PS,0256/2023,17-09-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,17-09-2023,10:30,Kumudenahalli Gasgoden near,Rural,SH,T/W,T/W,,,,,35,,,,,,,,
60,Mulbagal Rural PS,0263/2023,21-09-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,21-09-2023,14:00,Lanco tol Hanumanahalli,Rural,NH,JEEP,Lorry,,,,,50,,,,,,,,
61,Mulbagal Rural PS,0264/2023,21-09-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,21-09-2023,15:30,KSRTC Depo Seegenahalli,Rural,NH,Car,Car,,,,,"45, 47",35,,,,,,,
62,Mulbagal Rural PS,0269/2023,25-09-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,181(3)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,27-07-2023,16:30,Melthayaluru gate,Rural,MDR,T/W,T/W,,,,,57,,,,,,,,
63,Mulbagal Rural PS,0274/2023,30-09-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,29-09-2023,03:30,Kantharaj circle,Rural,NH,Self,Bolero,,,,,,,,,22,,,,
64,Mulbagal Rural PS,0275/2023,30-09-2023,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,24-09-2023,14:30,KAMANURU GATE,Rural,NH,T/W,Car,,,"16, 18",,,,,,,,,,
65,Mulbagal Rural PS,0281/2023,23-10-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,22-10-2023,15:30,Tatnagunte,Rural,OTHER ROAD,T/W,Lorry,,,23,,,,,,43,,,,
66,Mulbagal Rural PS,0282/2023,26-10-2023,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,25-10-2023,19:45,Devarayasasamudra gate near,Rural,NH,T/W,NOT KNOWN,19,,,,,,,,UNKNOWN,,,,
67,Mulbagal Rural PS,0283/2023,26-10-2023,"IPC 1860 U/s: 304(A),337,279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,25-10-2023,19:00,Bestharahalli,Rural,OTHER ROAD,T/W,T/W,"19, 45",,,,,,,,,,,,
68,Mulbagal Rural PS,0292/2023,02-11-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,11-01-2023,12:30,Vommasandra,Rural,OTHER ROAD,T/W,Auto,,,50,45,,,,,28,,,,
69,Mulbagal Rural PS,0300/2023,10-11-2023,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,11-03-2023,07:00,Hanumanahalli Gate,Rural,NH,Car,Lorry,,,"52, 20",42,,,,,23,,,,
70,Mulbagal Rural PS,0304/2023,13-11-2023,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,13-11-2023,15:45,Kantharaj circle,Rural,NH,PEDESTRIAN,T/W,66,,,,,,66,,26,,,,
71,Mulbagal Rural PS,0305/2023,15-11-2023,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,14-11-2023,18:00,Virupaksi,Rural,OTHER ROAD,PEDESTRIAN,T/W,43,,,,54,,43,,38,,,,
72,Mulbagal Rural PS,0308/2023,18-11-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,14-11-2023,20:30,Kurudumale Cross,Rural,NH,Car,TATA ACE,,,31,,,,,,,,,,
73,Mulbagal Rural PS,0310/2023,20-11-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,11-05-2023,06:00,Devarayasamudra gate,Rural,NH,Self,Car,,,,,25,23,,,,,,,
74,Mulbagal Rural PS,0314/2023,26-11-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196 IPC 1860 U/s: 338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17-11-2023,14:30,Doddagurki,Rural,NH,T/W,Auto,,,35,,,,,,32,,,,
75,Mulbagal Rural PS,0317/2023,29-11-2023,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,29-11-2023,12:15,Hanumanahalli Gate,Rural,NH,T/W,Car,50,,,,,45,,,,,,,
76,Mulbagal Rural PS,0320/2023,05-12-2023,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,04-12-2023,10:30,Uthanuru near,Rural,OTHER ROAD,T/W,Car,,,20,,,,,,27,,,,
77,Mulbagal Rural PS,0323/2023,06-12-2023,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,04-12-2023,21:00,Kadaripura near NH,Rural,NH,Self,T/W,45,,,,,,,,,,,,
78,Mulbagal Rural PS,0325/2023,09-12-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Places,30-11-2023,19:15,Mopurahalli,Rural,NH,T/W,TATA ACE,,,,,30,,,,,,,,
79,Mulbagal Rural PS,0329/2023,14-12-2023,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,13-12-2023,18:30,V guttahalli,Rural,NH,T/W,Tractor,55,,,,,45,,,33,,,,
80,Mulbagal Rural PS,0333/2023,18-12-2023,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,17-12-2023,21:30,V guttahalli,Rural,NH,T/W,Tractor,48,,,,,,,,,,,,
81,Mulbagal Rural PS,0334/2023,18-12-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,12-12-2023,11:30,Kappalamadagu,Rural,NH,PASSANGER,Auto,,,,,,50,,,50,,,,
82,Mulbagal Rural PS,0335/2023,19-12-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,16-12-2023,19:00,Seegenahalli,Rural,NH,T/W,LORRY,,,"3, 17",,,,,,38,,,,
83,Mulbagal Rural PS,0338/2023,23-12-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,12-12-2023,18:30,Kashipura,Rural,NH,T/W,T/W,,,,,47,65,,,,,,,
84,Mulbagal Rural PS,0340/2023,24-12-2023,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,24-12-2023,14:00,Kumudenahalli,Rural,SH,T/W,JEEP,17,,,,18,,,,24,,,,
85,Mulbagal Rural PS,0341/2023,25-12-2023,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,25-12-2023,11:30,Kammadatti,Rural,NH,T/W,NOT KNOWN,53,,,,,,,,UNKNOWN,,,,
86,Mulbagal Rural PS,0345/2023,27-12-2023,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,26-12-2023,18:20,Seegenahalli Gate,Rural,NH,PEDESTRIAN,CAR,27,,,,,,27,,,,,,
1,Mulbagal Town PS,0003/2023,04-01-2023,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,31-12-2023,11:30,"K.BAIPPALLI CROSS, NH75, MULBAGAL TOWN",URBAN,NH,T/W,CAR,,,,,26,,,,,,,,
2,Mulbagal Town PS,0004/2023,05-01-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,01-05-2023,02:00,"K.BAIPPALLI CROSS, NH75, MULBAGAL TOWN",URBAN,NH,LORRY,BUS,,,,,53,,,,,53,,,
3,Mulbagal Town PS,0006/2023,14-01-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,22-12-2022,09:30,"TAYALURU BYE PASS, NH-75, MULABAGAL TOWN",URBAN,NH,T/W,T/W,,,,,60,,,,,25,,,
4,Mulbagal Town PS,0007/2023,17-01-2023,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,17-01-2023,19:05,NEAR SONNAVADI PLY OVER NH-75 MULBAGAL TOWN,URBAN,NH,T/W,AUTO,26,,,,,,,,,35,,,
5,Mulbagal Town PS,0010/2023,01-02-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,02-01-2023,13:30,"NH-75 Tayaluru, Bye Pass Mulbagal",URBAN,NH,CAR,LORRY,,,,,75,71,,,,,,,
6,Mulbagal Town PS,0012/2023,06-02-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,06-02-2023,06:00,"NH-75, MADARASA NEAR,MULBAGAL",URBAN,NH,CAR,T/W,,,"22, 21",,,,,,,,,,
7,Mulbagal Town PS,0013/2023,10-02-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,10-02-2023,08:10,"NH-75 NARASIMHATHEERTHA, MULBAGAL TOWN",URBAN,NH,GOODS AUTO,Tractor,,,,,"58, 45",,,,,,,,
8,Mulbagal Town PS,0035/2023,03-04-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,02-04-2023,15:30,Tayaluru Cross NH-75 Road,URBAN,NH,T/W,TEMPO,,,,42,,,,,22,,,,
9,Mulbagal Town PS,0036/2023,03-04-2023,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,03-04-2023,18:30, K.Bypalli Road Muthyalapaete Mulbagal Town,URBAN,TOWN,Tractor ,SELF,42,,,,,,,,42,,,,
10,Mulbagal Town PS,0039/2023,05-04-2023,"IPC 1860 U/s: 338,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,03-04-2023,14:15,"In Front I.B , Mulbagal Town ",URBAN,TOWN,T/W,,,,,23,,,,,,,,,
11,Mulbagal Town PS,0044/2023,12-04-2023,"IPC 1860 U/s: 337,279,304(A),338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12-04-2023,05:05,Near  Vadaraja Talksh Mulbagal Town M.C Road,URBAN,TOWN,AUTO,SELF,64,,,64,47,,,,,,,,
12,Mulbagal Town PS,0045/2023,14-04-2023,"IPC 1860 U/s: 279,338,201",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,06-04-2023,06:00,"Near Madara, Mulagal - Kolar Road ",URBAN,SH,CAR,T/W,,,,24 & 25,,,,,,,,,
13,Mulbagal Town PS,0058/2023,30-04-2023,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,28-04-2023,15:30,"Opposite court, MULBAGAL TOWN",URBAN,TOWN,BUS,BUS,,,,15,,,,,,,,,
14,Mulbagal Town PS,0062/2023,06-05-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,05-05-2023,22:30,"K Baipally Cross, NH-75, Mulbagal Town",URBAN,NH,CAR,EICHER,,,,,,28 & 26,,,32,,,,
15,Mulbagal Town PS,0065/2023,14-05-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,09-05-2023,20:45,"Tayaluru Cross, NH-75, Mulbagal Town",URBAN,NH,T/W,Bolero,,,25,,,,,,21,,,,
16,Mulbagal Town PS,0066/2023,17-05-2023,"IPC 1860 U/s: 279,337,304(A),338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,196",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,17-05-2023,12:00,"Near Narasimha Theertha, Mulbagal Town",URBAN,SH,AUTO,T/W,57,,,,,,,,23,,,,
17,Mulbagal Town PS,0067/2023,17-05-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,10-05-2023,16:30,"Near Murugan Bar, KGF Road, Mulbagal Town",URBAN,Town,T/W,T/W,,,56,,,52,,,31,,,,
18,Mulbagal Town PS,0070/2023,29-05-2023,"IPC 1860 U/s: 279,337,304(A),338",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,29-05-2023,15:00,"Near Juice Factory, NH-75, Mulbagal Town",URBAN,NH,T/W,CONTAINER,16 & 38,,,,32,,,,,,,,
19,Mulbagal Town PS,0075/2023,11-06-2023,"IPC 1860 U/s: 279,337,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,11-06-2023,05:45,Ananda Bhavana Hotal Near  NH75 Road,URBAN,NH,AUTO,CAR,55,,,,65,,,,,,,,
20,Mulbagal Town PS,0081/2023,18-06-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,18-06-2023,11:30,NEAR K.S.R.T.C BUS STAND  MULBAGAL TOWN.,URBAN,Town,T/W,BUS,,,,,45,,,,45,,,,
21,Mulbagal Town PS,0087/2023,08-07-2023,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,08-07-2023,12:30,"NEAR CHETHAN BAR MC ROAD, MULBAGAL TOWN",URBAN,TOWN,T/W,T/W,65,,,,,,,,36,,,,
22,Mulbagal Town PS,0104/2023,03-09-2023,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,28-09-2023,11:00,"NEAR Karthik medicals,Mutyalpete ,mulbagal town",URBAN,town,T/W,T/W,,,76,,,,,,46,,,,
23,Mulbagal Town PS,0109/2023,16-09-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,23-04-2023,17:30,"Near anna poorn adaba,NH75 ",URBAN,NH,T/W,CAR,,,,,55,,,,50,,,,
24,Mulbagal Town PS,0113/2023,20-09-2023,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,17-09-2023,12:30,MN HALLI ROAD ,URBAN,TOWN,T/W,SELF,,28,,,,,,,26,,,,
25,Mulbagal Town PS,0118/2023,27-09-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,15-09-2023,06:30,NH-75 ROAD NEAR NARASIMHA THIRTHA ,URBAN,NH,PASSANGER,T/W,,,,,26,,,,26,,,,
26,Mulbagal Town PS,0123/2023,08-10-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,07-10-2023,14:00,"Narasimaha teertha ,Mulbagaltown",URBAN,NH,T/W,LORRY,,,39,,,,,,,,,,
27,Mulbagal Town PS,0126/2023,11-10-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,10-10-2023,22:00,"MANNATH TEA STAL,Mulbagaltown",URBAN,TOWN,TEMPO,LORRY,,,,,27,28,,,26,,,,
28,Mulbagal Town PS,0130/2023,15-10-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,15-10-2023,18:00,HP PETROL BUNK Mulbagaltown,URBAN,TOWN,AUTO,TEMPO,,,,,28,,,,30,,,,
29,Mulbagal Town PS,0131/2023,18-10-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17-10-2023,06:30,"near Asha daba,Mulbagaltown",URBAN,TOWN,LORRY,LORRY,,,,,22,46,,,35,,,,
30,Mulbagal Town PS,0133/2023,27-10-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17-10-2023,14:00,"Hyderi nagara,Mulbagaltown",URBAN,TOWN,LORRY,TEMPO,,,42,,,,,,,,,,
31,Mulbagal Town PS,0140/2023,16-11-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,16-11-2023,09:00,Narasimaha Teertha Mulbagal town,URBAN,NH,T/W,Car,,,,,65,,,,35,,,,
32,Mulbagal Town PS,0142/2023,18-11-2023,"IPC 1860 U/s: 337,279, 304(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,18-11-2023,16:00,"Madarasa,  Mulbagal town",URBAN,NH,Car,Tempo,,39,,,63,,,,,,,,
33,Mulbagal Town PS,0147/2023,05-12-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,04-12-2023,16:20,"HP petrol bunk,mulbagal town",URBAN,TOWN,T/W,TEMPO,, ,,,47,,,,,,,,
34,Mulbagal Town PS,0149/2023,12-12-2023,"IPC 1860 U/s: 279,337, 304(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,12-11-2023,16:10,"NEAR Ajay Godan,mulbagal town",URBAN,TOWN,T/W,NOT KNOWN,,36,,,41,,,,UNKNOWN,,,,
35,Mulbagal Town PS,0153/2023,17-12-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17-12-2023,15:00,Near dosa point,URBAN,NH,CAR,CAR,,,,,,,,,,,,,
36,Mulbagal Town PS,0155/2023,22-12-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,22-12-2023,11:00,"Indian oil petrol bunk ,Mulbagal town",URBAN,TOWN,T/W,T/W,,,,,60,,,,,,,,
37,Mulbagal Town PS,0162/2023,29-12-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,28-12-2023,12:30,"Kurubarapete,Mulbagal town",URBAN,TOWN,T/W,T/W,,,,,20,,,,,,,,
38,Mulbagal Town PS,0166/2023,30-12-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,29-12-2023,19:00,"indlu lake,Mulbagal town ",URBAN,TOWN,CAR,LORRY,,,,,,,,,,,,,
1,Nangli PS,0004/2023,03-01-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,03-01-2023,14:00,"NEAR JSR TOLL N.CHAMAKALAHALLI GATE PALAMANER to MULBAGAL, NH-75",RURAL,NH,T/W,CAR,,,,,43,,,,,39,,,
2,Nangli PS,0011/2023,30-01-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,18-01-2023,22:15,NEAR R.T.O CHECKPOST MULBAGAL TO PALAMANER,RURAL,NH,LORRY,LORRY,,,,,,,,,,,,,
3,Nangli PS,0012/2023,31-01-2023,"IPC 1860 U/s: 279,337,338,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,10-01-2023,10:30,SRIRANGAPURA GATE,RURAL,NH,T/W,T/W,,58,,,,,,,,63,,,
4,Nangli PS,0013/2023,03-02-2023,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,10-02-2023,03:35,N GADDURU GATE NEAR JSR TOLL,RURAL,NH,PEDESTRIAN,CAR,32,,,,,,,,,,,,
5,Nangli PS,0016/2023,07-02-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,05-02-2023,16:00,N VADDAHALI MULBAGAL TO NANGALI ,RURAL,NH,PEDESTRIAN,T/W,,,60,,,,60,,,,,,
6,Nangli PS,0020/2023,10-02-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,10-02-2023,06:30,THONDAHALLI GATE,RURAL,NH,T/W,CONTAINER,,,,,"20, 33,",38,,,,,,,
7,Nangli PS,0022/2023,11-02-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196 IPC 1860 U/s: 338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,11-02-2023,14:30,N VADDAHALI MULBAGAL TO NANGALI ,RURAL,NH,T/W,T/W,,,32,,,,,,,,,,
8,Nangli PS,0023/2023,13-02-2023,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13-02-2023,01:00,PUNYAHALLI GATE,RURAL,VR,CAR,CAR,20,,,,32,,,,,,,,
9,Nangli PS,0026/2023,17-02-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,16-02-2023,18:45,N VADDAHALI  NEAR NARAYANI COLLEAGE ,RURAL,NH,T/W,Tractor,,,40,,,,,,,,,,
10,Nangli PS,0027/2023,21-02-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,20-02-2023,12:30,N GADDURU GATE NEAR JSR TOLL,RURAL,NH,AUTO,LORRY,,,55,,"39, 41",,,,,,,,
11,Nangli PS,0038/2023,12-03-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,11-03-2023,20:45,NANGALI GATE,RURAL,NH,T/W,T/W,50,,,,,,,,,,,,
12,Nangli PS,0041/2023,15-03-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,14-03-2023,16:30,HALLEKUPPA VILLAGE ,RURAL,NH,T/W,CAR,,,35,,,,,,,,,,
13,Nangli PS,0056/2023,30-03-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,30-03-2023,11:35,THATHIGATTU GATE,RURAL,NH,CAR,BUS,,,35,30,,,,,,,,,
14,Nangli PS,0064/2023,07-04-2023,"IPC 1860 U/s: 304(A),337,279,338",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,07-04-2023,15:45,PADMAGATTA GATE ,RURAL,NH,T/W,T/W,55,,,,35,,,,,,,,
15,Nangli PS,0070/2023,22-04-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,22-04-2023,13:00,GUDIPALLI VILLAGE,RURAL,VR,T/W,T/W,25,,,,,,,,,,,,
16,Nangli PS,0074/2023,01-05-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,01-05-2023,15:00,JSR Toll,RURAL,NH,CAR,LORRY,,,,72,,,,,,,,,
17,Nangli PS,0075/2023,01-05-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,01-05-2023,18:30,SEEGEHOSAHALLI VILLAGE,RURAL,VR,T/W,AUTO,,,20,,,,,,,,,,
18,Nangli PS,0077/2023,03-05-2023,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,03-05-2023,05:45,NEAR N VADDAHALLI,RURAL,NH,PEDESTRIAN,NOT KNOWN,45,,,,,,,,UNKNOWN,,,,
